RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
84.1285,-69.3048,-0.4339999999999982,0.27399999999999936,-0.367999999999999,-1.299,-2.4570000000000007,-3.455,-4.773,-7.2445,-8.5817,-9.975999999999999,-11.8762,-16.6598,YSO,DSS
84.1531,-69.7895,,,,,-5.036,-6.525,-7.85,-9.4991,-10.2677,-10.966899999999999,-11.5939,-12.7198,CAGB,DSS
84.1768,-70.1295,-0.3460000000000008,-2.0280000000000005,-3.5469999999999993,-5.2299999999999995,-6.238999999999999,-7.09,-7.382,-7.755799999999999,-8.2127,-8.9492,-10.535599999999999,-13.5744,YSO,DSS
84.1816,-69.4961,,,,,-8.894,-9.009,-9.295,-9.616299999999999,-9.8902,-10.0641,-10.428099999999999,-16.5563,WR,Other
84.3671,-69.1467,,,,,-2.0799999999999983,-3.4160000000000004,-4.7219999999999995,-7.5222,-9.2189,-10.730799999999999,-11.863199999999999,-16.5563,YSO,DSS
84.3671,-69.1467,,,,,-2.0799999999999983,-3.4160000000000004,-4.7219999999999995,-7.5222,-9.2189,-10.730799999999999,-11.863199999999999,-16.5563,YSO,DSS
84.4597,-69.1853,,,,,,-4.302999999999999,-7.071999999999999,-10.5823,-11.725,-12.6492,-13.562,-17.8321,YSO,DSS
84.4785,-69.5766,,,,,,,-2.869999999999999,-6.622999999999999,-8.114099999999999,-9.3445,-10.5537,-15.288,YSO,DSS
84.5235,-69.1527,,1.5250000000000006,0.8680000000000017,-1.5640000000000005,-3.4029999999999987,-4.276999999999999,-5.343,-7.391499999999999,-8.0933,-9.2655,-11.0832,-16.3075,HII,Other
84.5676,-69.1697,,-1.9940000000000013,-3.6889999999999987,,-9.212,-10.184,-10.652999999999999,-10.980799999999999,-11.2147,-11.5359,-12.1614,-14.2943,RSG,DSS
