,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass
40,-1.4249999999999978,-1.828000000000001,-3.268,-5.9910000000000005,-7.453,-8.434000000000001,-8.740530820699082,-8.9139,-8.7773,-8.978299999999999,-9.0455,-9.4474,OAGB
41,0.17634752618202176,-0.6211996061942642,-1.9707385496201117,-4.361380644973833,-5.866000000000001,-7.097,-7.881000000000001,-9.226,-9.723,-10.397,-11.379,-13.827000000000002,OAGB
42,-3.0249999999999995,-2.609,-2.527999999999999,-2.4439999999999995,-0.5799966676551729,-1.1139999999999983,-2.372999999999998,-6.586713190408327,-7.852752237632995,-9.51970801224305,-10.755821082460756,-14.5726,YSO
43,-0.2839999999999996,-2.8550000000000004,-4.949000000000001,-6.0528903690810125,-5.969647306430617,-7.608380514873235,-8.744504805668168,-11.154699999999998,-11.247599999999998,-11.5217,-12.0604,-14.5767,RSG
44,2.129999999999999,2.0629999999999997,2.038,-1.044584848308013,-3.346,-5.2970000000000015,-6.9910000000000005,-10.407,-10.874,-11.523,-12.217,-12.844,CAGB
45,-3.056,-2.078999999999999,-2.5949999999999998,-3.931999999999999,-3.463,-3.7239999999999993,-4.003,-6.647953248178653,-7.769917048812777,-9.79810717261703,-11.45964157136413,-17.2902,YSO
46,4.0001746780250755,4.2780000000000005,3.571000000000001,0.7533255203799829,-2.393,-4.704,-6.832999999999998,-9.4311,-10.5125,-11.4906,-12.3427,-13.8353,CAGB
47,-3.2140000000000004,-2.445,-2.6640000000000024,-3.3100000000000014,-3.5660000000000007,-3.887000000000001,-4.311000000000001,-5.688000000000001,-6.197000000000001,-7.763000000000002,-9.526000000000002,-15.692,YSO
48,3.482808061042458,3.084999999999999,0.909000000000002,-2.787999999999999,-5.092999999999999,-6.573999999999999,-7.773,-9.1558,-9.6379,-10.1546,-10.602,-11.1569,CAGB
49,-1.8739999999999997,-1.610000000000001,-1.7739999999999978,-2.197,-2.1129999999999987,-3.264,-4.872999999999999,-7.4354,-8.3012,-8.997,-9.95,-12.2306,PAGB
50,0.6465439001312663,-0.31548837993203427,-1.5457425725797969,-2.75499678580895,-4.033,-5.843999999999999,-7.343,-9.5081,-9.8906,-10.2644,-10.7514,-11.3308,CAGB
51,-2.7257457940759324,-1.921000000000001,-2.925999999999999,-3.284,-3.903,-4.774,-5.972999999999999,-7.9055,-8.6129,-9.5154,-10.7805,-16.7797,YSO
52,-1.002335536531675,0.34984770687692124,-0.24924016690966422,0.03352706734524147,-0.7630000000000009,-2.6339999999999995,-5.193,-8.594999999999999,-9.7653,-10.622699999999998,-11.6369,-15.632,YSO
53,0.3651139656952753,-0.14398052495136393,-1.658624664413527,-3.584449031578201,-5.082999999999999,-6.454,-7.593,-9.0188,-9.3304,-9.686,-10.0804,-10.6728,CAGB
54,1.1586568690533432,2.287000000000001,1.358,-0.1480000000000001,-0.182999999999999,-1.4639999999999995,-3.412999999999999,-5.9133,-7.002799999999999,-8.226099999999999,-10.0528,-14.9241,YSO
55,-0.1209999999999993,0.3229999999999988,-0.576000000000001,0.2660000000000013,-2.1030000000000006,-3.634,-5.693,-8.6083,-9.7239,-10.6776,-12.0562,-15.9576,YSO
56,-1.5009999999999983,-0.8939999999999999,-1.247999999999998,-2.0020257776552737,-2.713,-3.753999999999999,-5.263,-7.9612,-8.8728,-9.9211,-11.0856,-15.0257,YSO
