RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
78.4491,-69.5848,,,,,,-0.5300000000000011,-2.289999999999999,,-6.6256,-8.1603,-9.6035,-15.159099999999999,YSO,DSS
78.5514,-68.8495,1.6660000000000004,0.5890000000000022,-1.0,-4.359999999999999,-6.1,-7.1,-7.34,-7.649099999999999,-7.642799999999999,-7.8384,-7.999699999999999,-9.339,OAGB,DSS
78.7059,-67.2061,2.779,2.625,2.1320000000000014,0.2510000000000012,-1.4899999999999984,-3.549999999999999,-5.6,-8.11,-9.2214,-10.1409,-11.1204,-15.0306,YSO,DSS
78.7214,-69.2899,0.9989999999999988,-0.7710000000000008,-2.4939999999999998,-3.926,-5.039999999999999,-5.76,-5.98,-6.3759,-6.7463,-7.577399999999999,-8.9986,-12.3899,PAGB,DSS
79.0521,-70.8251,1.8629999999999995,0.5940000000000012,-1.2729999999999997,-4.623999999999999,-6.309999999999999,-7.129999999999999,-7.49,-7.7448,-7.6876999999999995,-7.8406,-8.037899999999999,-9.2434,OAGB,DSS
79.4466,-68.3119,,1.222999999999999,-0.7929999999999993,-3.763,-5.369999999999999,-6.24,-6.539999999999999,-6.8421,-6.9354,-7.117099999999999,-7.827499999999999,-9.6821,OAGB,DSS
79.5136,-68.8307,,,,,-5.029999999999999,-6.42,-7.57,-9.018799999999999,-9.3304,-9.686,-10.0804,-10.672799999999999,CAGB,DSS
79.546,-67.4469,-0.3069999999999986,-1.5180000000000007,-3.4160000000000004,-6.682,-8.23,-9.12,,-9.732099999999999,-9.597,-9.8872,-10.045,-11.587299999999999,OAGB,DSS
79.636,-69.4238,,1.9540000000000006,-1.3359999999999985,-4.423,-6.17,-7.289999999999999,,-8.7569,-8.5933,-8.5373,-9.0475,-9.3493,CAGB,DSS
79.6887,-70.093,1.6140000000000008,0.6870000000000012,-1.038999999999998,-2.8739999999999988,-3.869999999999999,-4.25,-4.52,-5.8149,-6.982799999999999,-9.0953,-11.3382,-15.1075,PAGB,DSS
79.7857,-69.3873,2.339000000000002,1.3470000000000013,-2.2590000000000003,-4.987,-6.48,-7.539999999999999,,-8.986799999999999,-8.857,-8.920499999999999,-9.447899999999999,-9.9942,CAGB,DSS
79.7945,-69.5628,,,,,-6.639999999999999,-7.84,,-9.3629,-9.142299999999999,-9.040899999999999,-9.675099999999999,-10.8,CAGB,DSS
80.0597,-70.492,1.689,-0.23900000000000077,-1.9450000000000003,-4.503,-6.09,-6.9399999999999995,-7.26,-7.406699999999999,-7.4696,-7.6256,-7.8627,-9.1497,OAGB,DSS
80.1,-69.9065,-0.09600000000000009,-0.2740000000000009,-1.4570000000000007,-2.4299999999999997,-2.889999999999999,-3.58,-4.719999999999999,-7.196899999999999,-8.1797,-9.0184,-10.0481,-14.9126,YSO,DSS
80.216,-69.5689,,,,,-6.209999999999999,-7.049999999999999,-7.379999999999999,-7.6881,-7.7120999999999995,-7.900699999999999,-8.297699999999999,-10.156699999999999,OAGB,DSS
